card.basic_infantry.name,Basic Infantry
card.field_nurse.normal_rules_text,"{KW:stockpile} 3. {LIFE}5, {RANGED}1–2 {RANGE}2. Field Dressing {G} (channeled): heal surrounding allies for 2 HP. Triage {G}{N}{N} (channeled, {RANGE}1): remove one random debuff from an {ADJACENT} ally."
card.field_nurse.flavor_text,
card.artillery_battalion.name,Artillery Battalion
card.artillery_battalion.rules_text,Counts as an attack.
card.artillery_battalion.normal_rules_text,"{KW:trueshot}. 2×2. {LIFE}7, {RANGED}4–8 {RANGE}3 (deadzone 1). Coordinated Fire {G}{G}{N}{N} (channeled, costs attack action): when a friendly unit attacks an enemy, this unit also fires (3–6 damage), up to 5 shots until your next turn."
card.artillery_battalion.flavor_text,
card.valiant_resolute.name,Valiant Resolute
card.valiant_resolute.rules_text,"If triggered and not already {FX:stunned}, gain 1 {FX:stunned|stun} stack."
card.valiant_resolute.normal_rules_text,"{LIFE}8, {MOVE}3, {MELEE}4–7. Iron Will: 50% chance to survive lethal damage at 1 HP; then permanently gain +2/+2."
card.valiant_resolute.flavor_text,
card.flame_trooper.name,Flame Trooper
card.flame_trooper.rules_text,
card.flame_trooper.normal_rules_text,"{KW:stockpile} 2. {KW:true_immunity}. {KW:volley} 3. {KW:pierce}. {KW:trueshot}. {LIFE}11, {RANGED}3–7 {RANGE}2. {KW:fire_on_hit}: damage this unit does applies 2 {FX:fire} to each unit it damages. {KW:last_gasp}: on death, set this tile and surrounding tiles on {FX:fire} for 2 turns."
card.flame_trooper.flavor_text,
card.mother_ship.name,The Mother Ship
card.mother_ship.rules_text,
card.mother_ship.normal_rules_text,"{KW:flying}. {KW:command} 6. {KW:whirlwind}. {GL:armor} 1. 2×2. {LIFE}11, {RANGED}3–6 {RANGE}1, {MOVE}8. Deploy Conscripts {G}{G}{N} (channeled): spawn 2 Conscript tokens on random unoccupied surrounding cells. Deploy Heavy Trooper {G}{G}{G}{N}{N} (channeled): spawn 1 Heavy Trooper token on a random unoccupied {ADJACENT} cell."
card.mother_ship.flavor_text,
card.skyreaver.name,Skyreaver
card.skyreaver.rules_text,
card.skyreaver.normal_rules_text,"{KW:flying}. {KW:haste}. {KW:base_breaker} 3. {LIFE}8, {MOVE}4, {RANGED}3–6 {RANGE}2. Bunker Buster {G}{G}{G} (channeled, {RANGE}1): deal 5 damage to an {ADJACENT} enemy base or structure. Bombing Run {N}{G} (channeled): fly orthogonally 2–3 tiles, dealing 3 damage to each enemy unit passed over; land on an empty tile."
card.skyreaver.flavor_text,
card.general_stormwell.name,General Stormwell
card.general_stormwell.rules_text,
card.general_stormwell.normal_rules_text,"{LIFE}7, {MOVE}3, {RANGED}2–4 {RANGE}2. Rally {G}{G}{G}{N}{N} (channeled): surrounding allies gain {KW:relentless} 3 until end of turn. Expose {G}{N} (channeled, {RANGE}2): apply 1 {FX:vulnerable} to a unit until end of their turn."
card.general_stormwell.flavor_text,
card.remington.name,Remington
card.remington.rules_text,Swap Weapons suppresses {KW:volley}. Dual Wield disables Swap Weapons while active.
card.remington.normal_rules_text,"{KW:volley} 2. {LIFE}7, {MOVE}3, {RANGED}2–6 {RANGE}2. Swap Weapons {G} (channeled): switch to ranged 3–4 with +1 range and {KW:multistrike} 1 until end of turn. Dual Wield {G}{G}{N}{N} (channeled): switch to ranged 3–6 with +1 range and {KW:multistrike} 1 until end of turn."
card.remington.flavor_text,
card.callahan.name,Callahan
card.callahan.rules_text,Sworn Protector stacks once per death; each new death refreshes duration.
card.callahan.normal_rules_text,"{KW:multistrike} 1. {GL:armor} 1. {LIFE}6, {RANGED}2–5 {RANGE}2. Sworn Protector: when a unit you were covering dies, gain +1 {KW:multistrike} for 2 turns. Cover Shot {G}{G} (channeled, {RANGE}2): grant an ally {FX:covering_fire} until your next turn; the {FX:covering_fire} reaction and this unit's ranged range gain +1."
card.callahan.flavor_text,
card.the_green_death.name,The Green Death
card.the_green_death.rules_text,
card.the_green_death.normal_rules_text,"{KW:vigilance}. {LIFE}5, {RANGED}6–9 {RANGE}4. Overwatch {N}{G} (channeled, {RANGE}4): place 2 {FX:covering_fire|covering-fire} stacks on an ally. Go Dark {G}{G}{G}{N} (channeled): gain 1 {FX:stealth}."
card.the_green_death.flavor_text,
card.apex_troopers.name,Apex Troopers
card.apex_troopers.rules_text,
card.apex_troopers.normal_rules_text,"{KW:stockpile} 2. {GL:armor} 1. {LIFE}14, {MOVE}2, Hybrid {MELEE}7–10 / {RANGED}3–7 {RANGE}2."
card.apex_troopers.flavor_text,
card.core_cracker.name,Core Cracker
card.core_cracker.rules_text,{KW:crushes_on_move} cannot gain {FX:bonus_move_grant}-points; push ignores {KW:immovable}. Breaching Charge pierces base immunity.
card.core_cracker.normal_rules_text,"{KW:immovable}. {GL:armor} 1. 2×2. {LIFE}14, {MOVE}4, {RANGED}3–6 {RANGE}1. Cold Start: pay {G}{G}{G} each turn (except deploy) to act. {KW:crushes_on_move}: moves through units, pushing them. Prime Core {G}{G}{G} (channeled): prime to act until your next turn. Breaching Charge {G} (channeled, {RANGE}1): deal 15 damage to an {ADJACENT} enemy base, then destroy this unit."
card.core_cracker.flavor_text,
card.mobilize.name,Mobilize
card.mobilize.rules_text,Units that cost only colored energy are unaffected.
card.mobilize.normal_rules_text,"(channeled). Until end of turn, all units you deploy cost 1 less neutral energy (minimum 0)."
card.mobilize.flavor_text,
card.second_wave.name,Second Wave
card.second_wave.rules_text,
card.second_wave.normal_rules_text,"(channeled). Until end of turn, each {KW:stockpile} card you control may be deployed or played a second time."
card.second_wave.flavor_text,
card.reinforcements.name,Reinforcements
card.reinforcements.rules_text,
card.reinforcements.normal_rules_text,(channeled). Draw 2 unit cards.
card.reinforcements.flavor_text,Another truck rolls in from the rear - boots on the ground before the dust settles.
card.mark_target.name,Mark Target
card.mark_target.rules_text,
card.mark_target.normal_rules_text,(reflex). Apply 1 {FX:vulnerable} to an enemy unit until end of turn.
card.mark_target.flavor_text,A painted crosshair - one good hit and they're done.
card.field_trench.name,Field Trench
card.field_trench.rules_text,Subject to the normal {GL:armor} cap.
card.field_trench.normal_rules_text,(channeled). Turn a tile on or {ADJACENT} to an allied unit into a trench (+1 {GL:armor} to 1×1 non-{KW:flying} units on it; costs 1.5 movement to enter).
card.field_trench.flavor_text,"Shovels out, dirt flies - two minutes later the line has cover."
card.espirit_de_corps.name,Espirit de Corps
card.espirit_de_corps.rules_text,
card.espirit_de_corps.normal_rules_text,(reflex). Allied units in a 3×3 area centered on a chosen cell gain +3/+3 until end of turn.
card.espirit_de_corps.flavor_text,One shout and the whole section stands taller.
card.cheeky_saboteur.name,Cheeky Saboteur
card.cheeky_saboteur.rules_text,
card.cheeky_saboteur.normal_rules_text,"{KW:stockpile} 3. {KW:charge}. {KW:base_breaker} 4. {LIFE}1, {MOVE}4, {MELEE}1–2."
card.cheeky_saboteur.flavor_text,
card.dottie.name,Dottie
card.dottie.rules_text,{KW:evasive} stacks extend duration.
card.dottie.normal_rules_text,"{KW:flying}. {LIFE}5, {MOVE}4, {RANGED}2–5 {RANGE}2. Healing Flight {N}{N}{G} (channeled): fly orthogonally 2–5 tiles, dropping +4 HP heal pickups on empty cells along the path; land on an empty tile or pickup. {KW:evasive} Maneuver {G}{G} (channeled): gain {KW:evasive} (50% miss)."
card.dottie.flavor_text,
card.galvanized_bunker.name,Galvanized Bunker
card.galvanized_bunker.rules_text,
card.galvanized_bunker.normal_rules_text,"{KW:stockpile} 2. {GL:armor} 2. {LIFE}3, {RANGED}2–3 {RANGE}2. {KW:whirlwind} Spray {G}{G} (channeled): gain {KW:whirlwind} and −1 ranged range until end of turn."
card.galvanized_bunker.flavor_text,
card.battle_stim.name,Battle Stim
card.battle_stim.rules_text,
card.battle_stim.normal_rules_text,(reflex). Target allied unit gains +1 damage until end of turn.
card.battle_stim.flavor_text,
card.cover_detail.name,Cover Detail
card.cover_detail.rules_text,Hybrid units use their ranged attacks for {FX:covering_fire} reactions.
card.cover_detail.normal_rules_text,{KW:focus} (channeled). Cast from a ranged or hybrid unit you control. Apply 1 {FX:covering_fire} stack to an allied unit within that unit's ranged range.
card.cover_detail.flavor_text,
card.breaching_round.name,Breaching Round
card.breaching_round.rules_text,
card.breaching_round.normal_rules_text,{KW:focus} (channeled). Deal 4 damage to an {ADJACENT} enemy base.
card.breaching_round.flavor_text,
card.relentless_volley.name,Relentless Volley
card.relentless_volley.rules_text,{KW:relentless} lasts only for this attack.
card.relentless_volley.normal_rules_text,{KW:focus} (channeled). Your unit attacks a target enemy with {KW:relentless} 3.
card.relentless_volley.flavor_text,
card.frontline_salve.name,Frontline Salve
card.frontline_salve.rules_text,
card.frontline_salve.normal_rules_text,(channeled). Heal target allied unit for 3 HP and remove one random debuff.
card.frontline_salve.flavor_text,
card.gas_strike.name,Gas Strike
card.gas_strike.rules_text,"At the end of each unit owner's turn, units standing on gas cloud tiles take 1 {FX:poison}."
card.gas_strike.normal_rules_text,(channeled). Place a gas cloud on target tile and its 4 cardinal neighbors (5-tile cross); units there take 1 {FX:poison}.
card.gas_strike.flavor_text,
card.trench_sweeper.name,Trench Sweeper
card.trench_sweeper.rules_text,Units on those tiles take 1 {FX:poison} immediately. Reapplying gas keeps the longer duration.
card.trench_sweeper.normal_rules_text,"{KW:true_immunity}. {KW:volley} 2. {LIFE}5, {RANGED}2–5 {RANGE}2. Gas Grenade {N}{G} (channeled, {RANGE}3): place gas on target tile and its volley flank tiles (3 tiles) for 2 turns."
card.trench_sweeper.flavor_text,
card.sanglante.name,Sanglante
card.sanglante.rules_text,
card.sanglante.normal_rules_text,"Bloodlust: when this unit kills an enemy, permanently gain +1/+1. {LIFE}8, {MOVE}3, {MELEE}2–5. True Transformation {G}{G} (reflex): permanently gain {KW:multistrike} 1 and {KW:lifesteal}; Bloodlust is disabled."
card.sanglante.flavor_text,
card.fumigant.name,Fumigant
card.fumigant.rules_text,
card.fumigant.normal_rules_text,"{KW:poison_resistance}. {GL:armor} 1. {KW:cleave}. {KW:gas_on_hit}. {LIFE}9, {RANGED}2–3 {RANGE}2. Gas Detonation {N}{N}{G} (blazing, {RANGE}3): detonate gas at a tile for 3 damage, chaining to surrounding gas."
card.fumigant.flavor_text,
card.dieselheart_call.name,The Dieselheart Call
card.dieselheart_call.rules_text,{KW:stockpile} charges are consumed when spawned; cards with {KW:stockpile} remaining stay in your deck.
card.dieselheart_call.normal_rules_text,"(channeled). Spawn units from the top 10 cards of your deck (up to 12 total mana) onto random empty tiles in your base deployment zone. Chooses a random valid combination whose costs add up to exactly 12, or the highest exact total below 12 if 12 is impossible. Spawned units are {FX:stunned}."
card.dieselheart_call.flavor_text,
card.miasma.name,Miasma
card.miasma.rules_text,
card.miasma.normal_rules_text,"{KW:poison_resistance}. {KW:gas_on_hit}. {LIFE}3, {RANGED}2–3 {RANGE}2. {KW:gas_on_hit}: damage this unit does places a gas cloud on each tile it damages for 2 of your turn-ends and applies 1 {FX:poison} to each unit on it (including {KW:cleave} hits). Billow {N}{G} (channeled): gain {KW:cleave} until end of turn."
card.miasma.flavor_text,
card.war_time_belles.name,War Time Belles
card.war_time_belles.rules_text,
card.war_time_belles.normal_rules_text,"March Aura: at start of turn, surrounding allies gain +1 movement. {LIFE}6, {MOVE}4, {RANGED}1–4 {RANGE}4. Battle Hymn {N}{G} (channeled): surrounding allies gain +1 damage this turn. The Cheers of Battle {G}{G}{G}{N} (slow: grant an {ADJACENT} ally {KW:multistrike} 1 this turn."
card.war_time_belles.flavor_text,
card.glorious_standard.name,The Glorious Standard
card.glorious_standard.rules_text,
card.glorious_standard.normal_rules_text,"Sentinel Veil: the first time each turn a surrounding ally would die, prevent death and set HP to 1. {LIFE}9, {MOVE}2, {MELEE}5–8."
card.glorious_standard.flavor_text,
card.lady_concordia.name,Lady Concordia
card.lady_concordia.rules_text,
card.lady_concordia.normal_rules_text,"{GL:armor} 1. {KW:cleave}. 2×2. {LIFE}15, {MOVE}8, {MELEE}1–4. Concordia's Promise: when an ally within {RANGE}2 takes enemy damage, permanently gain +1 attack and heal 1 HP. Concordia's Love {G}{G}{N}{N} (channeled): permanently expand Promise range by 1."
card.lady_concordia.flavor_text,
card.spellcasting_squire.name,Spellcasting Squire
card.spellcasting_squire.rules_text,Temporary {T} expires at end of turn. Ineligible spells stay in the deck; only matching spells are removed.
card.spellcasting_squire.normal_rules_text,"{KW:stockpile} 3. {MELEE} 1–2, {MOVE} 3, 3 {HP}. Arcane Proximity: at the start of your turn, if an enemy is within 2 tiles, gain 1 {GL:flux_energy|flux energy}. Scribe's Insight {N}{T}{T}: draw a spell from your deck that costs 3 or less."
card.spellcasting_squire.flavor_text,He keeps the grimoire dry and the blade sharp - whichever the moment demands.
card.proclamation_unerring_barrage.name,Proclamation of the Unerring Barrage
card.proclamation_unerring_barrage.rules_text,Skip remaining copies if you pick fewer than 4 targets. Each copy resolves independently and counts as a separate spell cast for {KW:spellbound}.
card.proclamation_unerring_barrage.normal_rules_text,{KW:multicast} 4. {REFLEX}. Deal 1 damage to any unit. Choose up to 4 different targets.
card.proclamation_unerring_barrage.flavor_text,"Four words, four bolts - and not one misses its mark."
card.orphic_knight.name,Orphic Knight
card.orphic_knight.rules_text,"Orphic Verse requires an attack action. Bonus damage includes damage buffs, keyword bonuses, and ability-damage aura."
card.orphic_knight.normal_rules_text,"{KW:stockpile} 3. {MELEE} 1–2, {MOVE} 2, 6 {HP}. {KW:spellbound}: whenever you play a spell, gain +1 damage this turn. Orphic Verse {T}: deal 1 damage to an enemy; convert all bonus damage into {FX:bonus_health} on this unit."
card.orphic_knight.flavor_text,She sings the wound closed before the blade ever lands.
card.mana_frog.name,Mana Frog
card.mana_frog.rules_text,"Floating {T} expires when the active turn ends, even if gained on the opponent's turn."
card.mana_frog.normal_rules_text,"{KW:stockpile} 3. {MELEE} 1–2, {MOVE} 4, 1 {HP}. Mana Release: when this unit dies, gain 3 {GL:flux_energy|flux energy} before the current turn ends."
card.mana_frog.flavor_text,"It croaks once, brightly - then the spell you needed is suddenly affordable."
card.chant_whispering_zephyrs_breath.name,Chant of the Whispering Zephyr's Breath
card.chant_whispering_zephyrs_breath.rules_text,"Choose the unit, then choose an orthogonal direction. Respects {KW:immovable}; collision and terrain rules apply."
card.chant_whispering_zephyrs_breath.normal_rules_text,{KW:stockpile} 3. {REFLEX}. Push a unit 2 tiles in a cardinal direction.
card.chant_whispering_zephyrs_breath.flavor_text,"A breath of wind, a whispered word - and the battlefield rearranges itself."
card.mae_and_faye.name,Mae & Faye
card.mae_and_faye.rules_text,Echo Spell pays 1 {T} plus X {T} when activated; click a batch queue entry when the ability is armed.
card.mae_and_faye.normal_rules_text,"{KW:multistrike} 1. {RANGED} 1–3, {RANGE}3, {MOVE} 3, 6 {HP}. Echo Spell {T} + X: copy an allied spell on the batch queue with total energy cost X. Charm & Harm {T}{T}: deal 3 damage to an enemy unit and apply 1 {FX:stunned|Stun}."
card.mae_and_faye.flavor_text,One sings the hex; the other aims the bolt - and neither misses twice.
card.invocation_arcane_counterweave.name,Invocation of the Arcane Counterweave
card.invocation_arcane_counterweave.rules_text,Cannot counter attacks or other non-spell/ability batch items. Target by batch item id.
card.invocation_arcane_counterweave.normal_rules_text,{REFLEX}. Counter a spell or ability on the batch queue.
card.invocation_arcane_counterweave.flavor_text,The weave unravels what was only half-spoken - and the magic forgets it was ever cast.
card.symphony_scorching_sphere.name,Symphony of the Scorching Sphere
card.symphony_scorching_sphere.rules_text,{FX:fire} tiles last 2 of the caster's turn-ends. Units on burning tiles take {FX:fire} 1 at their owner's turn-end.
card.symphony_scorching_sphere.normal_rules_text,{CHANNELED}. Choose a board cell. Deal 5 damage to all units in a 13-tile area (3×3 square plus one tile beyond the center of each edge). Apply {FX:fire} 1 to every unit in the area. Set unoccupied tiles in the area on {FX:fire}.
card.symphony_scorching_sphere.flavor_text,The chorus swells - and the ground remembers every note as flame.
card.oath_forgotten_library.name,Oath of the Forgotten Library
card.oath_forgotten_library.rules_text,Resolves immediately; bypasses the batch queue.
card.oath_forgotten_library.normal_rules_text,{BLAZING}. Choose a player. That player draws 3 cards.
card.oath_forgotten_library.flavor_text,The shelves still answer - speak the oath and forgotten pages find their way into waiting hands.
card.curse_forsaken_silence.name,Curse of the Forsaken Silence
card.curse_forsaken_silence.rules_text,"While {FX:silenced}, keywords, passives, and buffs are disabled. {KW:focus} spells may still be cast from that unit."
card.curse_forsaken_silence.normal_rules_text,{KW:stockpile} 3. {REFLEX}. Silence a unit until the end of that unit's owner's turn.
card.curse_forsaken_silence.flavor_text,"The old tongue still works - one word, and even the proudest knight forgets the names of their gifts."
card.incantation_twin_paralysis.name,Incantation of Twin Paralysis
card.incantation_twin_paralysis.rules_text,Skip remaining copies if you pick fewer than 2 targets. One energy payment queues one batch copy per target picked.
card.incantation_twin_paralysis.normal_rules_text,{KW:multicast} 2. {REFLEX}. {FX:stunned|Stun} up to 2 enemy units for 1 turn. Choose different targets.
card.incantation_twin_paralysis.flavor_text,"Two syllables, two stillnesses - the old ward binds limbs faster than thought can flee."
card.magus_apprentice.name,Magus Apprentice
card.magus_apprentice.rules_text,Arcane Bolt targets enemies .
card.magus_apprentice.normal_rules_text,"{KW:spellbound}. {RANGED} 2–4, {RANGE}2, {MOVE} 2, 5 {HP}. Whenever you play a spell, gain 1 Arcane Charge. Arcane Bolt {N}{T}: consume all Arcane Charge; deal that much damage to an enemy unit or structure. Arcane {KW:surge} {N}{T}{T}: consume all Arcane Charge; deal that much damage to this unit and each surrounding unit, structure, and base."
card.magus_apprentice.flavor_text,"Every spell she hears becomes stored lightning - released all at once, or scattered in every direction."
card.silvermane_cavalry.name,Silvermane Cavalry
card.silvermane_cavalry.rules_text,"If your attack kills the target, they do not counterattack while you have {KW:first_strike}."
card.silvermane_cavalry.normal_rules_text,"{KW:haste}. {MELEE} 3–5, {MOVE} 4, 7 {HP}. Trophy of the Hunt: when you defeat an enemy unit, gain 1 {KW:conduit} permanently. Silver Charge {T}{T}: gain {KW:first_strike} until end of turn."
card.silvermane_cavalry.flavor_text,Their lances strike before the echo of the charge reaches the line.
card.ancient_frog.name,Ancient Frog
card.ancient_frog.rules_text,Tap zones manually during your turn to bank more float; this does not tap zones for you. Multiple reservoir units split energy evenly (turn order gets +1 remainder pips).
card.ancient_frog.normal_rules_text,"{KW:large_unit} (2×2). {MELEE} 3–6, {MOVE} 3, 8 {HP}. Reservoir: at the end of your turn, consume all your floating energy and store it (max 16). Mana Burst: when this unit dies, grant all stored energy as {GL:flux_energy|flux energy}."
card.ancient_frog.flavor_text,It swells with every spark you fail to spend - and croaks it all back when the pond runs dry.
card.conjuration_vital_grace.name,Conjuration of Vital Grace
card.conjuration_vital_grace.rules_text,{FX:bonus_health} absorbs damage before normal HP; healing does not refill {FX:bonus_health}.
card.conjuration_vital_grace.normal_rules_text,{REFLEX}. Target allied unit gains 4 {FX:bonus_health}.
card.conjuration_vital_grace.flavor_text,A whispered grace - and flesh remembers how to hold the blow.
card.conjuration_thundering_vale.name,Conjuration of the Thundering Vale
card.conjuration_thundering_vale.rules_text,"Adjacent means orthogonal only, not diagonal; any team. {KW:immovable} units still take damage but are not pushed. Cast from a unit you control, then confirm."
card.conjuration_thundering_vale.normal_rules_text,{KW:focus}. {REFLEX}. Deal 4 damage to all units adjacent to the caster and push them 3 tiles away.
card.conjuration_thundering_vale.flavor_text,The vale answers in thunder - and only those beside you feel the weight of the surge.
card.valgar_the_insatiable.name,Valgar the Insatiable
card.valgar_the_insatiable.rules_text,"Arm the spell, click Valgar, then pick a target in range and line of sight from him."
card.valgar_the_insatiable.normal_rules_text,"{RANGED} 0–6, {RANGE} 2, {MOVE} 2, 9 {HP}. Devourer's Trophy: whenever this unit kills an enemy unit, draw a card (max 3 times per turn). Insatiable {KW:focus}: while this unit is on the board, non-{KW:focus} damaging spells you cast must be cast through this unit as a {KW:focus} caster with {RANGE} 2."
card.valgar_the_insatiable.flavor_text,He feeds on the fallen - and the spells that follow taste all the sweeter.
card.seraphina.name,Seraphina
card.seraphina.rules_text,Symphony of the Scorching Sphere expires at the end of your next turn.
card.seraphina.normal_rules_text,"{KW:cleave}. {KW:spellbound}. {RANGED} 0–4, {RANGE} 3, {MOVE} 2, 6 {HP}. {KW:spellbound}: whenever you play a spell, gain 1 Resonance; at 3 Resonance, create Symphony of the Scorching Sphere in your hand and remove 3 Resonance. Scorching Acceleration: you may play Symphony of the Scorching Sphere at {REFLEX} speed."
card.seraphina.flavor_text,"She counts every incantation - and when the chorus reaches three, the sphere answers."
card.sir_garrick_the_valiant.name,Sir Garrick the Valiant
card.sir_garrick_the_valiant.rules_text,Valiant Guard: Garrick may counterattack afterward if able; the ally does not counter. {FX:barrier} blocks one hit of damage; Piercing ignores {FX:barrier}.
card.sir_garrick_the_valiant.normal_rules_text,"{MELEE} 2–4, {MOVE} 2, 6 {HP}. Valiant Guard {N}{T}: the next time a surrounding 1×1 ally is targeted by an attack, swap positions and take that attack. Bulwark {N}{T}: gain 1 {FX:barrier} until end of this turn."
card.sir_garrick_the_valiant.flavor_text,He steps into the blow meant for another - and stands unbowed when the steel finds him.
card.mana_pylon.name,Mana Pylon
card.mana_pylon.rules_text,"In team games, teammates' damaging spells count. Oldest deployed pylon with a {KW:charge} reacts first."
card.mana_pylon.normal_rules_text,"{KW:stockpile} 2. {KW:spearhead} 4. 3 {HP}. No attacks. {KW:charge} Reservoir: at the start of your turn, gain a charge. Spell {KW:conduit}: whenever an allied damaging spell is cast, consume a {KW:charge} and add {KW:conduit} 1 to that spell cast."
card.mana_pylon.flavor_text,The lattice hums louder with every spell that passes through it.
card.defective_construct.name,Defective Construct
card.defective_construct.rules_text,Does not grant another movement action.
card.defective_construct.normal_rules_text,"{MELEE} 3–6, 0 {MOVE}, 1 movement action, 3 {HP}. {KW:spellbound}: whenever you play a spell, gain +1 movement speed this turn."
card.defective_construct.flavor_text,The animus holds - but the legs forgot their purpose until magic reminds them.
card.disregarded_rangers.name,Disregarded Rangers
card.disregarded_rangers.rules_text,Hookshot {RANGE}4; pull is orthogonal or diagonal only and stops when the target is adjacent or blocked. {FX:bleed} stacks decay at the owner's turn-end and deal damage equal to the stack count.
card.disregarded_rangers.normal_rules_text,"{RANGED} 3–5, {RANGE}3, {MOVE} 2, 5 {HP}. Serrated Bolt {N}: your next attack or ability applies 3 {FX:bleed}. Hookshot {N}{T}: deal 3 damage to a unit and pull it toward you along a straight line."
card.disregarded_rangers.flavor_text,They saw the kingdom fall and kept walking - their bolts still bite.
